1|11|2|2025-06-02T00:00:00.0000000|2025-06-15T00:00:00.0000000|Rejected||False
2|10|2|2025-07-01T00:00:00.0000000|2025-09-11T00:00:00.0000000|Rejected|Ne primamo kucne ljubimce!|False
3|15|2|2025-09-15T00:00:00.0000000|2025-09-21T00:00:00.0000000|Approved||False
4|21|0|2025-08-23T00:00:00.0000000|2025-08-26T00:00:00.0000000|Approved||False
5|23|0|2025-10-05T00:00:00.0000000|2025-10-10T00:00:00.0000000|Rejected|Godisnji odmor.|False
6|11|2|2025-10-09T00:00:00.0000000|2025-10-15T00:00:00.0000000|Approved||False
7|24|0|2025-10-09T00:00:00.0000000|2025-10-16T00:00:00.0000000|Approved||False
8|25|0|2025-08-28T00:00:00.0000000|2025-09-06T00:00:00.0000000|Rejected|Zakazano renoviranje.|False
9|28|0|2025-09-25T00:00:00.0000000|2025-09-30T00:00:00.0000000|Approved||False
10|29|0|2025-08-30T00:00:00.0000000|2025-09-01T00:00:00.0000000|Rejected|High demand and workload|False
11|31|0|2025-08-30T00:00:00.0000000|2025-09-03T00:00:00.0000000|Rejected|Already booked!|False
12|30|0|2025-09-10T00:00:00.0000000|2025-09-13T00:00:00.0000000|Approved||False
13|32|0|2025-09-05T00:00:00.0000000|2025-09-08T00:00:00.0000000|Approved||False
14|33|0|2025-09-01T00:00:00.0000000|2025-09-11T00:00:00.0000000|Rejected|11. 09.2025 Already booked!|False
15|35|2|2026-05-01T00:00:00.0000000|2026-05-08T00:00:00.0000000|Approved||False
16|34|2|2026-01-03T00:00:00.0000000|2026-01-20T00:00:00.0000000|Rejected|Not available|False
17|40|2|2025-12-15T00:00:00.0000000|2025-12-23T00:00:00.0000000|Pending||False
